timestep,location,flow,occupy,speed
16818,165,128.0,0.0342,68.7
16255,142,482.0,0.0867,61.7
2702,69,201.0,0.0507,67.9
8544,162,83.0,0.0553,63.3
4309,64,269.0,0.043,68.6
9801,8,39.0,0.0283,63.5
12562,92,56.0,0.0274,65.3
14917,107,245.0,0.0756,59.7
6000,74,205.0,0.0647,66.6
10538,160,411.0,0.0875,62.9
15101,86,312.0,0.0687,64.5
8897,63,204.0,0.0377,70.4
11734,80,555.0,0.1183,63.3
194,27,449.0,0.1269,53.9
6160,113,132.0,0.0558,66.8
2673,27,150.0,0.0315,63.4
13156,59,361.0,0.1133,61.0
12050,153,450.0,0.0664,68.3
14791,78,265.0,0.057,65.2
17360,53,306.0,0.0802,66.9
13159,49,302.0,0.0865,62.3
10026,77,367.0,0.0749,63.7
6185,139,75.0,0.0641,55.2
13420,164,301.0,0.0733,60.8
3738,25,126.0,0.0456,70.3
17677,89,198.0,0.0736,64.5
3003,44,269.0,0.0887,53.8
9789,68,83.0,0.0356,62.9
16440,84,86.0,0.0179,68.3
16390,28,228.0,0.0544,68.2
1312,32,289.0,0.0926,57.9
14832,140,288.0,0.0702,63.9
9282,162,15.0,0.0096,64.9
6943,95,31.0,0.0094,67.8
4501,115,255.0,0.0826,65.5
10276,55,415.0,0.133,53.8
17096,118,249.0,0.061,63.8
931,137,90.0,0.0189,74.9
13531,152,129.0,0.0325,65.4
6695,134,142.0,0.0284,66.6
13566,167,15.0,0.0058,63.3
13097,10,489.0,0.1124,61.8
13719,29,356.0,0.0513,65.0
17715,52,466.0,0.0779,61.8
16271,59,206.0,0.0684,63.9
7036,140,226.0,0.0616,61.5
5992,85,171.0,0.0571,69.1
14921,46,319.0,0.0605,64.2
2227,115,273.0,0.1156,57.7
14273,144,269.0,0.1146,59.8
11714,104,386.0,0.1061,62.9
3721,56,143.0,0.0427,66.4
10278,58,337.0,0.0988,61.2
9422,150,422.0,0.0983,63.4
11094,75,243.0,0.0869,63.2
10747,92,8.0,0.0035,64.9
7181,56,146.0,0.0441,66.0
1330,116,140.0,0.0576,66.5
10352,164,205.0,0.0429,69.4
5337,123,474.0,0.0849,63.3
2463,75,262.0,0.084,65.4
5415,42,227.0,0.0333,71.8
2711,68,179.0,0.0565,62.5
4789,99,267.0,0.0827,60.3
3817,109,105.0,0.075,66.9
8677,95,33.0,0.0097,68.9
15583,126,64.0,0.0139,67.2
1706,99,137.0,0.0509,64.3
4121,77,461.0,0.0955,61.6
14838,153,540.0,0.0823,66.7
8119,67,127.0,0.0426,65.1
4758,75,248.0,0.0785,65.2
3983,106,391.0,0.0942,58.1
8835,38,257.0,0.0675,65.4
3763,11,64.0,0.0316,61.9
14062,64,427.0,0.0655,66.6
13304,154,50.0,0.036,68.0
8235,156,144.0,0.0427,56.7
3115,125,396.0,0.0609,67.7
6914,114,78.0,0.0396,64.7
17290,94,30.0,0.0084,68.8
4891,44,97.0,0.0277,66.5
15553,65,158.0,0.0417,64.6
1962,35,287.0,0.0554,65.9
10546,145,262.0,0.0841,65.7
4325,131,95.0,0.0279,68.2
9752,15,226.0,0.0524,65.1
12197,137,363.0,0.2472,22.3
9631,156,102.0,0.0268,67.7
10229,60,390.0,0.0993,61.1
7267,23,145.0,0.0586,65.1
11670,94,197.0,0.0532,66.9
3098,70,399.0,0.0868,65.9
629,101,50.0,0.0106,68.7
1949,144,117.0,0.0473,68.6
7226,90,32.0,0.0135,67.4
8910,67,243.0,0.0742,64.2
5911,103,52.0,0.0422,63.3
2062,108,0.0,0.0,64.9
12037,60,350.0,0.0709,67.2